state,all_adults,male,female
Alabama,0.72351,0.77997,0.67152
Alaska,0.81851,0.83519,0.79979
Arizona,0.78158,0.81915,0.74469
Arkansas,0.71465,0.75621,0.67474
California,0.79271,0.81957,0.76615
Colorado,0.84371,0.85850,0.82858
Connecticut,0.79246,0.82716,0.75972
Delaware,0.74806,0.76762,0.73005
District of Columbia,0.86148,0.89163,0.83580
Florida,0.75044,0.77494,0.72709
Georgia,0.77002,0.80406,0.73843
Hawaii,0.78704,0.80859,0.76543
Idaho,0.79274,0.81460,0.77069
Illinois,0.76667,0.79537,0.73901
Indiana,0.75423,0.78054,0.72875
Iowa,0.78205,0.80086,0.76326
Kansas,0.77551,0.79401,0.75711
Kentucky,0.72029,0.74788,0.69352
Louisiana,0.72386,0.75830,0.69155
Maine,0.78649,0.79671,0.77672
Maryland,0.80497,0.83633,0.77586
Massachusetts,0.81181,0.84217,0.78343
Michigan,0.78042,0.80174,0.75978
Minnesota,0.82523,0.83338,0.81713
Mississippi,0.69361,0.74310,0.64795
Missouri,0.75359,0.77076,0.73716
Montana,0.80897,0.82137,0.79630
Nebraska,0.78364,0.79662,0.77064
Nevada,0.76776,0.80366,0.73146
New Hampshire,0.81435,0.82571,0.80316
New Jersey,0.77233,0.80835,0.73804
New Mexico,0.78332,0.81371,0.75348
New York,0.76026,0.78681,0.73537
North Carolina,0.79806,0.82412,0.77347
North Dakota,0.78313,0.80911,0.75551
Ohio,0.77789,0.80435,0.75249
Oklahoma,0.72349,0.75188,0.69583
Oregon,0.81004,0.82721,0.79318
Pennsylvania,0.77329,0.78948,0.75781
Rhode Island,0.77053,0.80403,0.73879
South Carolina,0.78252,0.81332,0.75392
South Dakota,0.78607,0.78438,0.78780
Texas,0.74869,0.78350,0.71452
Utah,0.83241,0.84665,0.81782
Vermont,0.84041,0.85719,0.82408
Virginia,0.78129,0.80293,0.76048
Washington,0.82609,0.84508,0.80697
West Virginia,0.71324,0.75374,0.67339
Wisconsin,0.78269,0.80177,0.76376
Wyoming,0.79031,0.80173,0.77836
Guam,0.69845,0.72785,0.66836
Puerto Rico,0.57220,0.64073,0.51226
U.S. Virgin Islands,0.79602,0.85213,0.74426
