name,median_earn,rnk
Alabama A & M University,40628,1648
University of Alabama at Birmingham,54501,832
Amridge University,37621,1803
University of Alabama in Huntsville,61767,482
Alabama State University,34502,1916
The University of Alabama,59221,585
Auburn University at Montgomery,44391,1432
Auburn University,65337,352
South University-Montgomery,34421,1919
Faulkner University,43457,1476
Herzing University-Birmingham,36909,1831
Huntingdon College,49601,1106
Heritage Christian University,42597,1533
Jacksonville State University,45235,1388
University of West Alabama,44232,1445
Miles College,32627,1956
University of Mobile,43611,1464
University of Montevallo,42957,1516
University of North Alabama,45415,1365
Oakwood University,42488,1539
Samford University,58469,617
University of South Alabama,49379,1121
Spring Hill College,51500,1022
Stillman College,35421,1889
Talladega College,32229,1968
Troy University,42062,1565
Tuskegee University,49641,1102
University of Alaska Anchorage,51871,987
University of Alaska Fairbanks,48866,1153
University of Alaska Southeast,48475,1172
Alaska Pacific University,54271,850
Charter College,35504,1886
Brookline College-Phoenix,29576,2013
Arizona State University Campus Immersion,62668,445
University of Arizona,59979,551
Cochise County Community College District,38033,1788
Eastern Arizona College,38018,1789
Embry-Riddle Aeronautical University-Prescott,84131,98
Glendale Community College,43108,1508
Grand Canyon University,42186,1561
GateWay Community College,46147,1313
Mesa Community College,44034,1455
Dine College,29188,2020
Northern Arizona University,54384,839
Northland Pioneer College,34199,1932
Phoenix College,40870,1626
Pima Medical Institute-Tucson,38673,1751
Prescott College,42359,1549
Rio Salado College,41015,1618
Scottsdale Community College,47905,1208
South Mountain Community College,39825,1695
Arizona Christian University,51612,1011
Yavapai College,39890,1691
University of Arkansas at Little Rock,45265,1386
Arkansas Baptist College,28418,2028
Lyon College,44232,1445
University of Arkansas,58191,635
University of Arkansas at Pine Bluff,35550,1884
Arkansas State University,42617,1532
Arkansas Tech University,41766,1582
University of Arkansas at Monticello,36902,1840
University of Central Arkansas,45938,1335
Central Baptist College,46789,1276
Crowley's Ridge College,39533,1710
Harding University,52876,930
Henderson State University,43459,1475
Hendrix College,60376,535
John Brown University,53907,868
Ouachita Baptist University,51673,1005
University of the Ozarks,44384,1433
Philander Smith University,38427,1761
Williams Baptist University,38484,1758
Southern Arkansas University Main Campus,42386,1545
University of Arkansas-Fort Smith,41102,1615
Academy of Art University,39008,1737
Antelope Valley Community College District,36526,1854
Art Center College of Design,71958,226
Azusa Pacific University,66677,321
Bakersfield College,37291,1817
Biola University,56778,709
Bryan University,40283,1662
California Baptist University,61504,489
California College of the Arts,49414,1120
California Institute of Technology,128566,6
California Lutheran University,68712,284
California Polytechnic State University-San Luis Obispo,90768,68
California State University-Bakersfield,59009,595
California State University-Stanislaus,63188,428
California State University-San Bernardino,59977,552
California State Polytechnic University-Pomona,71902,228
California State University-Chico,64172,377
California State University-Dominguez Hills,57162,683
California State University-Fresno,61244,507
California State University-Fullerton,62951,435
California State University-East Bay,71401,238
California State University-Long Beach,64403,369
California State University-Los Angeles,59211,587
California State University-Northridge,59115,590
California State University-Sacramento,64876,360
University of California-Berkeley,92446,50
University of California-Davis,80838,123
University of California-Irvine,80735,124
University of California-Los Angeles,82511,116
University of California-Riverside,67699,301
University of California-San Diego,84943,93
University of California-Santa Barbara,74915,186
University of California-Santa Cruz,68396,288
California Institute of the Arts,41198,1607
Cal Poly Maritime Academy,94784,43
Casa Loma College-Los Angeles,49854,1087
Chapman University,70070,256
Charles R Drew University of Medicine and Science,83438,104
Concordia University-Irvine,65083,355
San Diego Christian College,49766,1093
Claremont McKenna College,104736,18
University of Silicon Valley,51017,1037
California College of ASU,42014,1568
Crafton Hills College,42553,1535
Cypress College,43533,1469
Design Institute of San Diego,46920,1269
Dominican University of California,84713,95
Feather River Community College District,38142,1781
Foothill College,57072,690
Fresno City College,37361,1815
Fresno Pacific University,58896,598
Glendale Career College,41472,1597
Harvey Mudd College,138687,2
California State Polytechnic University-Humboldt,47626,1226
Humphreys University,39248,1722
American Jewish University,61954,474
Life Pacific University,43299,1490
University of La Verne,65464,349
Laguna College of Art and Design,47867,1214
Lincoln University,53695,886
Southern California Seminary,39607,1704
La Sierra University,61824,479
Southern California University of Health Sciences,70649,248
Los Angeles Valley College,42678,1527
The Master's University and Seminary,57106,686
Los Angeles Mission College,39834,1694
Loyola Marymount University,78349,146
Menlo College,76419,164
MiraCosta College,43845,1461
Modesto Junior College,42368,1547
Moorpark College,49044,1141
Mount Saint Mary's University,72379,218
Musicians Institute,32778,1952
National University,67548,304
Newschool of Architecture and Design,68891,277
Notre Dame de Namur University,74576,190
Occidental College,75951,172
Otis College of Art and Design,58152,638
Hope International University,49697,1098
Pacific Union College,70484,250
University of the Pacific,78445,143
Pepperdine University,82939,108
Pitzer College,69512,267
Point Loma Nazarene University,63998,382
Pomona College,77779,152
Santa Ana College,43552,1467
University of Redlands,72690,215
Rio Hondo College,44950,1404
San Diego Mesa College,45120,1391
San Diego State University,64909,359
University of San Diego,86522,87
San Francisco State University,68077,293
University of San Francisco,89812,73
San Joaquin Valley College-Visalia,38317,1768
William Jessup University,56257,732
San Jose State University,78988,136
Santa Clara University,109183,15
Santa Monica College,42193,1558
Scripps College,77539,155
Shasta Bible College and Graduate School,28891,2023
Shasta College,39269,1718
Simpson University,54340,841
Skyline College,55702,762
Saint Mary's College of California,78812,138
Solano Community College,44170,1449
Sonoma State University,65986,337
Vanguard University of Southern California,59541,568
Southern California Institute of Architecture,71909,227
University of Southern California,92498,49
Taft College,38861,1744
Thomas Aquinas College,55619,767
Epic Bible College & Graduate School,37822,1799
West Los Angeles College,38537,1756
Carrington College-Sacramento,39633,1703
Westmont College,64778,364
Whittier College,59492,571
Woodbury University,65668,343
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,48361,1184
Adams State University,44372,1434
Aims Community College,41887,1577
Arapahoe Community College,48341,1186
University of Colorado Denver/Anschutz Medical Campus,64270,374
University of Colorado Colorado Springs,54659,827
University of Colorado Boulder,69738,264
Colorado Christian University,50416,1062
Colorado College,65222,354
Concorde Career College-Aurora,42456,1541
Colorado Mountain College,44127,1452
Colorado Northwestern Community College,43526,1470
Colorado School of Mines,97335,38
Colorado State University-Fort Collins,60543,526
Colorado Technical University-Colorado Springs,37180,1822
Community College of Denver,39095,1727
University of Denver,71155,241
Fort Lewis College,46349,1307
Front Range Community College,45910,1337
Colorado Mesa University,45823,1345
Metropolitan State University of Denver,52093,972
Morgan Community College,39429,1714
Naropa University,28720,2025
University of Northern Colorado,52231,963
Pikes Peak State College,40796,1632
Pueblo Community College,37434,1813
Red Rocks Community College,46288,1308
Regis University,72105,223
Rocky Mountain College of Art and Design,42958,1515
Montessori Education Center of the Rockies,44643,1416
Colorado State University Pueblo,55563,768
Trinidad State College,36475,1855
Western Colorado University,46833,1272
Albertus Magnus College,60144,541
University of Bridgeport,50323,1068
Central Connecticut State University,58562,611
Charter Oak State College,64209,376
Connecticut College,75001,185
University of Connecticut,73997,197
Goodwin University,43596,1465
Eastern Connecticut State University,56469,716
Fairfield University,88794,78
University of Hartford,60823,516
Mitchell College,39115,1726
University of New Haven,60126,542
Post University,38696,1749
Quinnipiac University,83759,102
Sacred Heart University,75059,184
University of Saint Joseph,59908,554
Southern Connecticut State University,55043,800
Trinity College,90779,67
Wesleyan University,73897,203
Western Connecticut State University,59115,590
Yale University,100533,32
Delaware Technical Community College-Terry,41448,1599
Delaware State University,49307,1128
University of Delaware,72950,214
Goldey-Beacom College,59892,555
Wilmington University,53844,874
American University,77370,157
The Catholic University of America,73250,211
University of the District of Columbia,44236,1444
Gallaudet University,43101,1509
George Washington University,90873,66
Georgetown University,103494,21
Howard University,63066,432
Strayer University-District of Columbia,40092,1672
Trinity Washington University,53804,876
Baptist University of Florida,42836,1520
Barry University,55966,743
Bethune-Cookman University,38518,1757
Lynn University,49006,1143
Eastern Florida State College,37195,1821
Broward College,41939,1574
Albizu University-Miami,41544,1591
College of Central Florida,38203,1778
University of Central Florida,58308,630
Chipola College,37378,1814
Daytona State College,37096,1825
South University-West Palm Beach,34421,1919
Eckerd College,51819,992
Florida SouthWestern State College,43421,1478
Edward Waters University,34782,1908
Embry-Riddle Aeronautical University-Daytona Beach,84131,98
Florida Agricultural and Mechanical University,44349,1438
Florida Atlantic University,56746,710
Florida State College at Jacksonville,42244,1552
Flagler College,49483,1116
Florida College,43445,1477
AdventHealth University,72282,219
Florida Institute of Technology,43137,1506
Florida International University,60249,537
The College of the Florida Keys,42508,1537
Florida Memorial University,36624,1850
Florida Southern College,55294,786
Florida State University,61675,485
University of Florida,71588,233
