Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
200025542-90E,200025542,03/28/2020,PUBLIC INTOXICATION,03/28/2020 11:50:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,200 NE 28TH ST,FORT WORTH,TX,C11,Northwest,2,C,18,18 PARKING LOT/GARAGE,"(32.79512267527676, -97.34736968390531)"
200025291-90E,200025291,03/27/2020,PUBLIC INTOXICATION,03/27/2020 08:29:28 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,14300 CENTREPORT LANDING CIR,FORT WORTH,TX,H17,,,C,20,20 RESIDENCE/HOME,"(32.81901915935712, -97.05732878148257)"
200025472-35A,200025472,03/28/2020,PUBLIC INTOXICATION,03/28/2020 04:41:22 PM,35A,HSC 481.117(B) Poss CS PG 3 <28G 35A DRUG/NARCOTIC,5400 ENCLAVE CIR,FORT WORTH,TX,K18,,,C,15,15 JAIL/PRISON,"(32.67383727899393, -97.41089914948881)"
200025309-90E,200025309,03/27/2020,PUBLIC INTOXICATION,03/27/2020 09:11:59 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3300 W BOYCE AVE,FORT WORTH,TX,J12,South,9,C,20,20 RESIDENCE/HOME,"(32.68139719413715, -97.36576854742505)"
200025525-90E,200025525,03/28/2020,PUBLIC INTOXICATION,03/28/2020 10:54:17 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,100 E BOLT ST,FORT WORTH,TX,I11,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.68865080126258, -97.3265765609558)"
200025472-90E,200025472,03/28/2020,PUBLIC INTOXICATION,03/28/2020 04:41:22 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5400 ENCLAVE CIR,FORT WORTH,TX,K18,,,C,25,25 OTHER/UNKNOWN,"(32.67383727899393, -97.41089914948881)"
200024739-90E,200024739,03/25/2020,PUBLIC INTOXICATION,03/25/2020 04:57:46 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4200 E LANCASTER AVE EB,FORT WORTH,TX,G14,,,C,9,09 DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,"(32.7407398017475, -97.26158046529801)"
200024499-90E,200024499,03/24/2020,PUBLIC INTOXICATION,03/24/2020 05:29:08 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2300 NW 24TH ST,FORT WORTH,TX,D11,Northwest,2,C,21,21 RESTAURANT,"(32.79046301373756, -97.37432765746128)"
200023846-90E,200023846,03/22/2020,PUBLIC INTOXICATION,03/22/2020 02:13:24 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3700 ASHLAND AVE,FORT WORTH,TX,K14,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.72491201767807, -97.38367177730856)"
200023625-90E,200023625,03/21/2020,PUBLIC INTOXICATION,03/21/2020 01:56:20 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 JEFF ST,FORT WORTH,TX,A12,,,C,20,20 RESIDENCE/HOME,"(32.77786018808845, -97.3058458249848)"
