name,rate,rnk,median_earn
Catholic International University,1.0,17.0,
Shasta Bible College and Graduate School,1.0,17.0,28891.0
Centra College,1.0,17.0,60122.0
Women's Institute of Torah Seminary and College,1.0,17.0,
Gnomon,1.0,17.0,114785.0
Millennia Atlantic University,1.0,17.0,
Grace Mission University,1.0,17.0,
Yeshivath Beth Moshe,1.0,17.0,
Lincoln University,1.0,17.0,53695.0
St. John Vianney College Seminary,1.0,17.0,
Grace School of Theology,1.0,17.0,
Chamberlain University-Virginia,1.0,17.0,92405.0
Chamberlain University-Michigan,1.0,17.0,92405.0
Polytechnic University of Puerto Rico-Miami,1.0,17.0,47540.0
Carolinas College of Health Sciences,1.0,17.0,64624.0
Laboure College of Healthcare,1.0,17.0,62200.0
St Luke's College,1.0,17.0,61033.0
Ascent College,1.0,17.0,
University of Fort Lauderdale,1.0,17.0,38062.0
Mount Sinai Phillips School of Nursing,1.0,17.0,96980.0
Chamberlain University-Missouri,1.0,17.0,92405.0
Riverside College of Health Sciences,1.0,17.0,66072.0
World Mission University,1.0,17.0,
Messenger College,1.0,17.0,29463.0
Strayer University-Florida,1.0,17.0,40092.0
Divine Word College,1.0,17.0,
Amridge University,1.0,17.0,37621.0
California Career College,1.0,17.0,51684.0
California Northstate University,1.0,17.0,
Pacific States University,1.0,17.0,
American College of Healthcare Sciences,1.0,17.0,
Cox College,1.0,17.0,56867.0
Cleveland University-Kansas City,1.0,17.0,52304.0
Princeton University,0.9761,34.0,110066.0
Harvard University,0.9758,35.0,101817.0
InterCoast Colleges-West Covina,0.9712,36.0,36089.0
Duke University,0.9678,37.0,97800.0
University of Pennsylvania,0.9654,38.0,111371.0
Massachusetts Institute of Technology,0.9641,39.0,143372.0
Franklin W Olin College of Engineering,0.9639,40.0,129455.0
Curtis Institute of Music,0.9615,41.0,
Columbia University in the City of New York,0.961,42.0,102491.0
University of Chicago,0.9585,43.0,91885.0
Yale University,0.9574,44.0,100533.0
Brown University,0.9569,45.0,93487.0
University of Virginia-Main Campus,0.956,46.0,86863.0
Dartmouth College,0.9554,47.0,97434.0
Cornell University,0.9538,48.0,104043.0
Bowdoin College,0.9528,49.0,82735.0
University of Notre Dame,0.9517,50.0,99980.0
Northwestern University,0.9513,51.0,89363.0
Georgetown University,0.9481,52.0,103494.0
Rice University,0.9464,53.0,89718.0
California Institute of Technology,0.9437,54.0,128566.0
Washington University in St Louis,0.9426,55.0,86182.0
Carnegie Mellon University,0.9413,56.0,114862.0
Georgia Institute of Technology-Main Campus,0.9402,57.0,102772.0
Amherst College,0.939,58.0,77644.0
Washington and Lee University,0.9388,59.0,94810.0
Johns Hopkins University,0.9378,60.0,87555.0
Williams College,0.9361,61.0,88665.0
Vanderbilt University,0.9354,62.0,91565.0
Tufts University,0.9351,63.0,83214.0
Homestead Schools,0.9333,64.0,59398.0
University of Michigan-Ann Arbor,0.932,65.5,83648.0
Pomona College,0.932,65.5,77779.0
Babson College,0.9312,67.0,123938.0
Barnard College,0.9302,68.0,80516.0
United States Naval Academy,0.9294,69.0,
University of California-Berkeley,0.9284,70.0,92446.0
United States Coast Guard Academy,0.9273,71.0,
Wesleyan University,0.9264,72.0,73897.0
University of California-Los Angeles,0.9262,73.0,82511.0
The Juilliard School,0.9256,74.0,37827.0
Angeles College,0.9254,75.0,49108.0
Swarthmore College,0.9227,76.0,80257.0
Stanford University,0.9192,77.0,124080.0
Harvey Mudd College,0.9188,78.0,138687.0
Villanova University,0.9186,79.0,100423.0
University of Southern California,0.9183,80.0,92498.0
Soka University of America,0.9182,81.0,55017.0
Bolivar Technical College,0.9167,82.0,
Wellesley College,0.9153,83.0,84803.0
Middlebury College,0.914,84.0,76310.0
Claremont McKenna College,0.9136,85.0,104736.0
Yeshiva Gedola Tiferes Yerachmiel,0.913,86.0,
Colgate University,0.9117,87.5,85139.0
University of North Carolina at Chapel Hill,0.9117,87.5,72200.0
University of Florida,0.9112,89.0,71588.0
Emory University,0.9109,90.0,80137.0
Vassar College,0.9108,91.0,71366.0
Davidson College,0.9107,92.0,81400.0
Felbry College,0.9091,93.0,
Boston College,0.9083,94.0,103937.0
Hamilton College,0.9063,95.0,78411.0
Northeastern University,0.9054,96.0,92538.0
Jewish Theological Seminary of America,0.9032,97.0,92751.0
Worcester Polytechnic Institute,0.8971,98.5,103470.0
Hillsdale College,0.8971,98.5,
Bates College,0.8969,100.5,69498.0
University of Georgia,0.8969,100.5,68726.0
Haverford College,0.8964,102.0,79966.0
Carleton College,0.896,103.0,75525.0
Bryan University,0.8958,104.0,28725.0
University of Wisconsin-Madison,0.8955,105.0,73792.0
William & Mary,0.8942,106.0,73490.0
Career Networks Institute,0.8929,107.0,45256.0
Wake Forest University,0.8915,108.0,78158.0
Smith College,0.8905,109.0,64027.0
The University of Texas at Austin,0.889,110.0,75121.0
Yeshiva of the Telshe Alumni,0.8889,112.0,
Arizona College of Nursing-Tempe,0.8889,112.0,34657.0
Yeshiva Gedolah Shaarei Shmuel,0.8889,112.0,
Colby College,0.8879,114.0,80490.0
Rhode Island School of Design,0.8877,115.0,68140.0
Boston University,0.8866,116.0,83238.0
University of Maryland-College Park,0.8859,117.0,82860.0
Grinnell College,0.8812,118.0,62830.0
Webb Institute,0.88,119.0,
Santa Clara University,0.8792,120.0,109183.0
Lehigh University,0.8791,121.0,105584.0
Ohio State University-Main Campus,0.8772,122.0,60409.0
Colorado College,0.8766,123.0,65222.0
Lafayette College,0.8759,124.0,91410.0
New York University,0.8757,125.0,82509.0
United States Air Force Academy,0.8751,126.0,
Southeastern College-Boynton Beach,0.875,127.5,41200.0
International Baptist College and Seminary,0.875,127.5,39556.0
College of the Holy Cross,0.8733,129.0,90543.0
Yeshiva Gedolah Keren Hatorah,0.8718,130.0,
Case Western Reserve University,0.8717,131.0,87989.0
Macalester College,0.871,132.0,63878.0
United States Military Academy,0.8706,133.0,
Stevens Institute of Technology,0.8688,134.0,108772.0
University of California-Irvine,0.8687,135.0,80735.0
Bentley University,0.8679,136.0,120959.0
Yeshiva Gedola Tiferes Yaakov Yitzchok,0.8667,137.0,
Clemson University,0.8656,138.0,71513.0
California Polytechnic State University-San Luis Obispo,0.864,139.0,90768.0
Bucknell University,0.8632,140.0,93807.0
Gonzaga University,0.8629,141.0,78892.0
Virginia Polytechnic Institute and State University,0.8622,142.0,81698.0
Tulane University of Louisiana,0.8614,143.0,63268.0
Pennsylvania State University-Main Campus,0.8609,144.0,63435.0
University of California-San Diego,0.8605,145.0,84943.0
Brandeis University,0.8603,146.0,77231.0
CEM College-San Juan,0.859,147.0,21033.0
The College of New Jersey,0.8585,148.0,73323.0
Providence College,0.8582,149.0,87054.0
Daytona College,0.8571,150.0,26422.0
University of California-Davis,0.8567,151.0,80838.0
Florida State University,0.8561,152.0,61675.0
Texas Christian University,0.8551,153.0,68424.0
University of Pittsburgh-Pittsburgh Campus,0.855,154.0,66125.0
