name,gdp_pc,gdp_growth,pri,sec,ter,other,pct_65plus
Aguascalientes,214.5,-1.9,4.3,30.3,64.7,0.7,7.2
Baja California,233.5,0.3,5.2,29.5,61.4,3.9,7.1
Baja California Sur,211.8,3.8,5.9,18.8,74.8,0.5,6.6
Campeche,497.3,-6.7,17.6,18.8,63.4,0.2,7.9
Chiapas,64.4,2.2,30.9,18.0,50.9,0.2,6.0
Chihuahua,233.3,-0.9,6.4,35.3,55.4,2.9,8.1
Ciudad de México,422.5,2.2,0.6,13.5,84.4,1.5,12.0
Coahuila,275.0,-0.5,2.2,37.6,59.4,0.8,7.9
Colima,206.6,2.6,10.6,16.2,72.0,1.2,9.1
Durango,170.2,5.3,12.8,27.0,59.7,0.5,8.2
Estado de México,131.5,2.3,4.0,24.7,70.8,0.5,8.0
Guanajuato,180.8,4.1,7.7,32.1,59.9,0.3,7.7
Guerrero,87.1,1.2,23.3,22.8,53.8,0.1,8.8
Hidalgo,139.2,2.9,12.6,25.4,61.8,0.2,8.7
Jalisco,211.4,0.8,8.9,28.9,62.0,0.2,8.5
Michoacán,136.7,1.0,21.3,18.5,59.9,0.3,8.7
Morelos,132.0,0.7,10.9,20.6,68.3,0.2,9.9
Nayarit,120.8,-2.5,15.6,15.6,68.2,0.6,9.1
Nuevo León,326.6,3.4,1.3,33.5,64.7,0.5,8.0
Oaxaca,108.1,5.1,27.4,20.6,51.9,0.1,9.2
Puebla,127.0,4.1,15.3,25.5,58.9,0.3,7.7
Querétaro,238.8,1.4,3.9,34.6,61.2,0.3,7.1
Quintana Roo,186.8,-3.5,3.5,15.9,80.4,0.2,4.8
San Luis Potosí,196.0,0.9,14.6,27.3,57.4,0.7,9.0
Sinaloa,162.9,-0.3,11.9,19.8,67.8,0.5,9.4
Sonora,265.0,-0.3,8.9,28.3,61.0,1.8,8.8
Tabasco,245.1,-6.8,13.7,20.6,65.0,0.7,7.6
Tamaulipas,206.3,2.7,4.4,30.1,63.5,2.0,8.7
Tlaxcala,106.0,1.7,11.1,35.8,52.7,0.4,7.4
Veracruz,135.1,3.4,18.9,19.5,61.0,0.6,10.4
Yucatán,162.7,4.2,9.6,24.4,65.7,0.3,8.9
Zacatecas,141.6,4.8,19.3,25.3,55.0,0.4,8.5
