"county","hhincome","pct_college","median_age"
"Bernalillo",69473,38.2,39.5
"Catron",49864,31.2,63.8
"Chaves",52938,17.9,37.2
"Cibola",50759,17,40
"Colfax",53554,25.4,49.1
"Curry",57309,23.3,31.9
"De Baca",NA,9.3,35.3
"Doña Ana",56848,31.7,34.3
"Eddy",78426,19.3,36.2
"Grant",44958,30.7,49.5
"Guadalupe",42750,16.4,37.8
"Harding",48553,33.3,42.5
"Hidalgo",48882,18.3,42.6
"Lea",68015,15.5,32.5
"Lincoln",53303,32.2,52.4
"Los Alamos",147139,69.7,39.3
"Luna",36419,14.6,36.3
"McKinley",47668,13.3,34.6
"Mora",53663,34.3,55.1
"Otero",55876,22.7,36.4
"Quay",41946,19.6,48.9
"Rio Arriba",57155,19,42
"Roosevelt",52685,21.2,32.3
"San Juan",55872,18.3,38.3
"San Miguel",49431,26.5,47.2
"Sandoval",86636,33.8,41.3
"Santa Fe",79071,46.1,48.7
"Sierra",41600,17,57.6
"Socorro",36570,19,40.3
"Taos",58950,38.5,52.6
"Torrance",57842,16.6,43.3
"Union",46694,18.4,42.6
"Valencia",58933,20.9,39.4
