"year","county","pct_college"
2012,"Collin",49.2
2012,"Dallas",28.2
2012,"Tarrant",29.7
2012,"Denton",39.6
2013,"Collin",49.1
2013,"Dallas",29.4
2013,"Tarrant",30.5
2013,"Denton",41
2014,"Collin",50
2014,"Dallas",29.1
2014,"Tarrant",30
2014,"Denton",41.5
2015,"Denton",42.1
2015,"Collin",50.2
2015,"Dallas",30.1
2015,"Tarrant",30.8
2016,"Denton",44.6
2016,"Collin",51.7
2016,"Dallas",30.4
2016,"Tarrant",30.7
2017,"Denton",46.1
2017,"Collin",52
2017,"Dallas",30.6
2017,"Tarrant",31.4
2018,"Dallas",31.8
2018,"Tarrant",32.2
2018,"Denton",46.6
2018,"Collin",52.4
2019,"Collin",52.6
2019,"Dallas",32.4
2019,"Tarrant",34.1
2019,"Denton",46.1
2021,"Tarrant",34.2
2021,"Dallas",34.4
2021,"Collin",54.7
2021,"Denton",48.7
2022,"Collin",56.5
2022,"Dallas",35.7
2022,"Denton",49.7
2022,"Tarrant",34.4
2023,"Collin",55.5
2023,"Dallas",36.5
2023,"Denton",49.7
2023,"Tarrant",35.9
2024,"Collin",58.5
2024,"Dallas",37.3
2024,"Denton",52.4
2024,"Tarrant",35.4
