"county","pct_internet","pct_poverty","median_age","pct_hispanic","population"
"Angelina",95.7,9.8,38.1,24.3,88094
"Bastrop",91.7,7.1,36.6,46.9,114931
"Bell",94.7,14.5,32.8,27.3,399578
"Bexar",94,14.7,35.2,60.1,2127737
"Bowie",91.4,15.8,39.3,9.1,91992
"Brazoria",94.8,8.3,37.1,32,413224
"Brazos",90.1,23.1,26.9,27.9,249624
"Cameron",92.6,24.6,33.4,89.2,431874
"Collin",97.2,5.7,37.7,16.2,1254658
"Comal",95.5,6.7,41.8,29.5,201628
"Coryell",96.2,16.4,33.4,21.6,86370
"Dallas",94.6,12.4,34.2,42.3,2656028
"Denton",96.6,6.1,37.4,20.8,1045120
"Ector",91.3,15.6,31.7,66,170022
"El Paso",92.6,18.2,34.1,82.8,875784
"Ellis",94,6.4,36.5,29.1,232387
"Fort Bend",96.4,7.8,37.8,25,958434
"Galveston",94.5,12.9,39.7,27.4,367407
"Grayson",93.2,11.1,39.3,17.3,150532
"Gregg",91,17.1,37.2,21,126679
"Guadalupe",95.7,7.4,37.5,40.3,195166
"Harris",93.7,16.8,34.8,45,5009302
"Harrison",90.6,13.4,38.4,15.4,71370
"Hays",94.4,12,34.9,40.3,292029
"Henderson",89.9,16.6,43.2,16,87467
"Hidalgo",91.7,24.4,31.3,92,914820
"Hood",94.7,6.1,45.4,14.6,69126
"Hunt",91.6,10.3,36.6,23.3,118729
"Jefferson",93.4,22.1,37,25.3,253948
"Johnson",94.4,7.1,36.8,26.6,210547
"Kaufman",91.1,7.9,33.3,28.9,197829
"Liberty",90.6,25.6,33.7,44.1,115042
"Lubbock",91.8,16,32.1,37.1,327394
"McLennan",92.5,17,33.8,27.7,270358
"Midland",92.9,12.5,32.8,48.4,183587
"Montgomery",96.8,9.3,37,29.3,749613
"Nacogdoches",89.7,23.5,32.6,22.3,65728
"Nueces",93.3,15,37.7,63.4,353125
"Orange",92.2,13.2,38.8,10.8,86115
"Parker",93.5,8.7,38.8,15.9,179707
"Potter",86.9,24,35.6,40.4,114649
"Randall",93.7,12.1,36.9,26.3,150547
"Rockwall",97.5,7.1,36.7,21.8,137044
"San Patricio",92,11.9,37.5,57.6,71467
"Smith",93.3,11.8,37.5,21.6,249091
"Starr",92.3,40.7,30.8,96.9,66587
"Tarrant",94.5,11.5,35.4,31,2230708
"Taylor",92.4,15.8,33,25.8,148813
"Tom Green",91,9.4,36,41.7,120103
"Travis",95.9,10.6,35.8,32.8,1363767
"Van Zandt",85.4,13,43.2,14.7,65304
"Victoria",89.1,14.6,38.5,49.1,91949
"Walker",85.4,22.6,39.2,22,83722
"Waller",96.9,16.3,35.9,34.5,65109
"Webb",92.8,20.5,30.4,94.8,272823
"Wichita",93.4,13.4,35.3,21.3,129984
"Williamson",96.8,5.6,37.5,25.2,727480
"Wise",91.4,5.6,38.6,22.2,81275
